dataset	participant_id	classification	count
dset-camcan	sub-CC120234	accepted	3
dset-camcan	sub-CC120234	rejected	6
dset-camcan	sub-CC120234	ignored	3
dset-camcan	sub-CC120264	accepted	2
dset-camcan	sub-CC120264	rejected	7
dset-camcan	sub-CC120264	ignored	4
dset-camcan	sub-CC120276	accepted	9
dset-camcan	sub-CC120276	rejected	13
dset-camcan	sub-CC120276	ignored	2
dset-camcan	sub-CC120286	accepted	1
dset-camcan	sub-CC120286	rejected	4
dset-camcan	sub-CC120286	ignored	6
dset-camcan	sub-CC120309	accepted	15
dset-camcan	sub-CC120309	rejected	14
dset-camcan	sub-CC120309	ignored	0
dset-camcan	sub-CC120313	accepted	2
dset-camcan	sub-CC120313	rejected	7
dset-camcan	sub-CC120313	ignored	1
dset-camcan	sub-CC120319	accepted	4
dset-camcan	sub-CC120319	rejected	4
dset-camcan	sub-CC120319	ignored	3
dset-camcan	sub-CC120347	accepted	14
dset-camcan	sub-CC120347	rejected	12
dset-camcan	sub-CC120347	ignored	0
dset-camcan	sub-CC120376	accepted	1
dset-camcan	sub-CC120376	rejected	6
dset-camcan	sub-CC120376	ignored	7
dset-camcan	sub-CC120409	accepted	4
dset-camcan	sub-CC120409	rejected	8
dset-camcan	sub-CC120409	ignored	0
dset-camcan	sub-CC120462	accepted	6
dset-camcan	sub-CC120462	rejected	17
dset-camcan	sub-CC120462	ignored	0
dset-camcan	sub-CC120469	accepted	13
dset-camcan	sub-CC120469	rejected	15
dset-camcan	sub-CC120469	ignored	3
dset-camcan	sub-CC120470	accepted	4
dset-camcan	sub-CC120470	rejected	6
dset-camcan	sub-CC120470	ignored	2
dset-camcan	sub-CC120550	accepted	2
dset-camcan	sub-CC120550	rejected	4
dset-camcan	sub-CC120550	ignored	1
dset-camcan	sub-CC120640	accepted	14
dset-camcan	sub-CC120640	rejected	8
dset-camcan	sub-CC120640	ignored	2
dset-camcan	sub-CC120727	accepted	0
dset-camcan	sub-CC120727	rejected	3
dset-camcan	sub-CC120727	ignored	7
dset-camcan	sub-CC120764	accepted	11
dset-camcan	sub-CC120764	rejected	16
dset-camcan	sub-CC120764	ignored	0
dset-camcan	sub-CC120795	accepted	6
dset-camcan	sub-CC120795	rejected	5
dset-camcan	sub-CC120795	ignored	0
dset-camcan	sub-CC120816	accepted	3
dset-camcan	sub-CC120816	rejected	6
dset-camcan	sub-CC120816	ignored	0
dset-camcan	sub-CC120987	accepted	9
dset-camcan	sub-CC120987	rejected	14
dset-camcan	sub-CC120987	ignored	0
dset-camcan	sub-CC121106	accepted	3
dset-camcan	sub-CC121106	rejected	7
dset-camcan	sub-CC121106	ignored	0
dset-camcan	sub-CC121111	accepted	2
dset-camcan	sub-CC121111	rejected	6
dset-camcan	sub-CC121111	ignored	2
dset-camcan	sub-CC121144	accepted	0
dset-camcan	sub-CC121144	rejected	5
dset-camcan	sub-CC121144	ignored	6
dset-camcan	sub-CC121158	accepted	3
dset-camcan	sub-CC121158	rejected	6
dset-camcan	sub-CC121158	ignored	1
dset-camcan	sub-CC121194	accepted	6
dset-camcan	sub-CC121194	rejected	36
dset-camcan	sub-CC121194	ignored	0
dset-camcan	sub-CC121200	accepted	4
dset-camcan	sub-CC121200	rejected	7
dset-camcan	sub-CC121200	ignored	0
dset-camcan	sub-CC121317	accepted	6
dset-camcan	sub-CC121317	rejected	6
dset-camcan	sub-CC121317	ignored	1
dset-camcan	sub-CC121397	accepted	4
dset-camcan	sub-CC121397	rejected	9
dset-camcan	sub-CC121397	ignored	0
dset-camcan	sub-CC121411	accepted	18
dset-camcan	sub-CC121411	rejected	6
dset-camcan	sub-CC121411	ignored	2
dset-camcan	sub-CC121428	accepted	2
dset-camcan	sub-CC121428	rejected	5
