dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-camcan	sub-CC520585	10743	784	2411	7565	2540	1698	958	263
dset-camcan	sub-CC520597	12115	865	2865	9275	3078	2210	872	40
dset-camcan	sub-CC520607	10277	806	2437	7630	2664	1638	791	54
dset-camcan	sub-CC520624	11373	872	2307	7953	2928	2218	687	122
dset-camcan	sub-CC520673	12660	982	2510	8773	3126	1885	1081	280
dset-camcan	sub-CC520745	9770	763	2256	7586	2703	1817	807	155
dset-camcan	sub-CC520775	10170	688	2106	7052	2136	1246	956	253
dset-camcan	sub-CC520868	11993	832	2721	8602	3152	2173	955	180
dset-camcan	sub-CC520980	12331	830	2468	9003	2855	1598	1092	238
dset-camcan	sub-CC521040	10904	753	2475	8232	3116	2090	974	261
dset-camcan	sub-CC610022	10670	790	2353	7099	2556	1725	738	108
dset-camcan	sub-CC610028	12242	948	2293	9291	2683	1050	1528	791
dset-camcan	sub-CC610039	9666	705	2179	7792	2339	972	923	138
dset-camcan	sub-CC610040	10370	842	2764	8656	2752	1471	1150	354
dset-camcan	sub-CC610046	10222	792	2717	8541	3260	2442	880	125
dset-camcan	sub-CC610051	10553	871	2435	9001	3427	2806	1030	273
dset-camcan	sub-CC610052	10940	810	2159	8557	3056	1746	1102	259
dset-camcan	sub-CC610058	10736	833	3006	8619	2562	1138	1289	728
dset-camcan	sub-CC610071	10359	738	2122	8359	2818	1282	1143	328
dset-camcan	sub-CC610076	10161	680	1936	8078	2624	1053	1102	799
dset-camcan	sub-CC610099	10764	806	2390	7407	2535	1275	755	201
dset-camcan	sub-CC610101	9845	850	2417	8414	2890	1921	923	171
dset-camcan	sub-CC610146	11385	880	2602	8557	3020	2004	1064	246
dset-camcan	sub-CC610178	11594	868	2578	8739	2957	1675	1214	325
dset-camcan	sub-CC610210	11538	847	2349	9381	3309	1849	1384	573
dset-camcan	sub-CC610212	11211	766	2375	7879	2828	1800	981	239
